2019-03-08 18:51:03, INFO: Current git head hash code: 6583db272e99270b8998bd3bc3583a07a9ebb33a
2019-03-08 18:51:03, INFO: Using device: cpu
2019-03-08 18:51:03, INFO: Policy: SARL w/o global state
2019-03-08 18:51:03, INFO: human number: 5
2019-03-08 18:51:03, INFO: Not randomize human's radius and preferred speed
2019-03-08 18:51:03, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2019-03-08 18:51:03, INFO: Square width: 10.0, circle width: 4.0
2019-03-08 18:51:03, INFO: Load reinforcement learning trained weights. Resume training
2019-03-08 18:51:03, INFO: Agent is invisible and has unicycle kinematic constraint
2019-03-08 18:51:03, INFO: Current learning rate: 0.001000
2019-03-08 18:54:26, INFO: TRAIN in episode 0 has success rate: 0.98, collision rate: 0.02, nav time: 10.69, total reward: 0.3214
2019-03-08 18:59:51, INFO: TRAIN in episode 43 has success rate: 1.00, collision rate: 0.00, nav time: 11.75, total reward: 0.2935
2019-03-08 18:59:54, INFO: TRAIN in episode 44 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3396
2019-03-08 18:59:56, INFO: TRAIN in episode 45 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3015
2019-03-08 18:59:59, INFO: TRAIN in episode 46 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3138
2019-03-08 19:00:01, INFO: TRAIN in episode 47 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:00:04, INFO: TRAIN in episode 48 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3220
2019-03-08 19:00:07, INFO: TRAIN in episode 49 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3396
2019-03-08 19:00:09, INFO: TRAIN in episode 50 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 19:00:12, INFO: TRAIN in episode 51 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3487
2019-03-08 19:00:14, INFO: TRAIN in episode 52 has success rate: 1.00, collision rate: 0.00, nav time: 9.50, total reward: 0.3773
2019-03-08 19:00:17, INFO: TRAIN in episode 53 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3580
2019-03-08 19:00:19, INFO: TRAIN in episode 54 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3138
2019-03-08 19:00:22, INFO: TRAIN in episode 55 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3138
2019-03-08 19:00:24, INFO: TRAIN in episode 56 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3393
2019-03-08 19:00:26, INFO: TRAIN in episode 57 has success rate: 1.00, collision rate: 0.00, nav time: 9.25, total reward: 0.3874
2019-03-08 19:00:29, INFO: TRAIN in episode 58 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3580
2019-03-08 19:00:31, INFO: TRAIN in episode 59 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 19:00:34, INFO: TRAIN in episode 60 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 19:00:36, INFO: TRAIN in episode 61 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:00:39, INFO: TRAIN in episode 62 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 19:00:41, INFO: TRAIN in episode 63 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3066
2019-03-08 19:00:44, INFO: TRAIN in episode 64 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:00:47, INFO: TRAIN in episode 65 has success rate: 1.00, collision rate: 0.00, nav time: 12.00, total reward: 0.2900
2019-03-08 19:00:50, INFO: TRAIN in episode 66 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 19:00:52, INFO: TRAIN in episode 67 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3354
2019-03-08 19:00:55, INFO: TRAIN in episode 68 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3138
2019-03-08 19:00:57, INFO: TRAIN in episode 69 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3255
2019-03-08 19:01:00, INFO: TRAIN in episode 70 has success rate: 1.00, collision rate: 0.00, nav time: 12.00, total reward: 0.2900
2019-03-08 19:01:02, INFO: TRAIN in episode 71 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3580
2019-03-08 19:01:03, INFO: TRAIN in episode 72 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1823
2019-03-08 19:01:06, INFO: TRAIN in episode 73 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3580
2019-03-08 19:01:08, INFO: TRAIN in episode 74 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:01:11, INFO: TRAIN in episode 75 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3030
2019-03-08 19:01:14, INFO: TRAIN in episode 76 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3308
2019-03-08 19:01:17, INFO: TRAIN in episode 77 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3580
2019-03-08 19:01:19, INFO: TRAIN in episode 78 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3308
2019-03-08 19:01:23, INFO: TRAIN in episode 79 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3149
2019-03-08 19:01:24, INFO: TRAIN in episode 80 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2719
2019-03-08 19:01:27, INFO: TRAIN in episode 81 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:01:29, INFO: TRAIN in episode 82 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3487
2019-03-08 19:01:32, INFO: TRAIN in episode 83 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3580
2019-03-08 19:01:34, INFO: TRAIN in episode 84 has success rate: 1.00, collision rate: 0.00, nav time: 9.50, total reward: 0.3773
2019-03-08 19:01:37, INFO: TRAIN in episode 85 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3580
2019-03-08 19:01:39, INFO: TRAIN in episode 86 has success rate: 1.00, collision rate: 0.00, nav time: 9.25, total reward: 0.3874
2019-03-08 19:01:42, INFO: TRAIN in episode 87 has success rate: 1.00, collision rate: 0.00, nav time: 11.50, total reward: 0.3016
2019-03-08 19:01:45, INFO: TRAIN in episode 88 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:01:47, INFO: TRAIN in episode 89 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3487
2019-03-08 19:01:49, INFO: TRAIN in episode 90 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3580
2019-03-08 19:01:52, INFO: TRAIN in episode 91 has success rate: 1.00, collision rate: 0.00, nav time: 9.00, total reward: 0.3962
2019-03-08 19:01:54, INFO: TRAIN in episode 92 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3202
2019-03-08 19:01:57, INFO: TRAIN in episode 93 has success rate: 1.00, collision rate: 0.00, nav time: 12.50, total reward: 0.2751
2019-03-08 19:02:00, INFO: TRAIN in episode 94 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3580
2019-03-08 19:02:02, INFO: TRAIN in episode 95 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3138
2019-03-08 19:02:05, INFO: TRAIN in episode 96 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 19:02:07, INFO: TRAIN in episode 97 has success rate: 1.00, collision rate: 0.00, nav time: 12.00, total reward: 0.2806
2019-03-08 19:02:09, INFO: TRAIN in episode 98 has success rate: 1.00, collision rate: 0.00, nav time: 9.00, total reward: 0.3978
2019-03-08 19:02:11, INFO: TRAIN in episode 99 has success rate: 1.00, collision rate: 0.00, nav time: 9.50, total reward: 0.3773
2019-03-08 19:02:14, INFO: TRAIN in episode 100 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:02:16, INFO: TRAIN in episode 101 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3077
2019-03-08 19:02:19, INFO: TRAIN in episode 102 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3467
2019-03-08 19:02:21, INFO: TRAIN in episode 103 has success rate: 1.00, collision rate: 0.00, nav time: 9.00, total reward: 0.3964
2019-03-08 19:02:24, INFO: TRAIN in episode 104 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 19:02:27, INFO: TRAIN in episode 105 has success rate: 1.00, collision rate: 0.00, nav time: 12.50, total reward: 0.2745
2019-03-08 19:02:30, INFO: TRAIN in episode 106 has success rate: 1.00, collision rate: 0.00, nav time: 9.50, total reward: 0.3610
2019-03-08 19:02:32, INFO: TRAIN in episode 107 has success rate: 1.00, collision rate: 0.00, nav time: 11.75, total reward: 0.2977
2019-03-08 19:02:35, INFO: TRAIN in episode 108 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3308
2019-03-08 19:02:38, INFO: TRAIN in episode 109 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3487
2019-03-08 19:02:41, INFO: TRAIN in episode 110 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3487
2019-03-08 19:02:43, INFO: TRAIN in episode 111 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3134
2019-03-08 19:02:46, INFO: TRAIN in episode 112 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3580
2019-03-08 19:02:49, INFO: TRAIN in episode 113 has success rate: 1.00, collision rate: 0.00, nav time: 13.25, total reward: 0.2539
2019-03-08 19:02:51, INFO: TRAIN in episode 114 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:02:54, INFO: TRAIN in episode 115 has success rate: 1.00, collision rate: 0.00, nav time: 9.00, total reward: 0.3725
2019-03-08 19:02:58, INFO: TRAIN in episode 116 has success rate: 1.00, collision rate: 0.00, nav time: 11.75, total reward: 0.2976
2019-03-08 19:03:01, INFO: TRAIN in episode 117 has success rate: 1.00, collision rate: 0.00, nav time: 12.25, total reward: 0.2824
2019-03-08 19:03:05, INFO: TRAIN in episode 118 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3308
2019-03-08 19:03:07, INFO: TRAIN in episode 119 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3358
2019-03-08 19:03:10, INFO: TRAIN in episode 120 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3093
2019-03-08 19:03:13, INFO: TRAIN in episode 121 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.2765
2019-03-08 19:03:15, INFO: TRAIN in episode 122 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3487
2019-03-08 19:03:19, INFO: TRAIN in episode 123 has success rate: 1.00, collision rate: 0.00, nav time: 14.25, total reward: 0.2227
2019-03-08 19:03:21, INFO: TRAIN in episode 124 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 19:03:24, INFO: TRAIN in episode 125 has success rate: 1.00, collision rate: 0.00, nav time: 11.50, total reward: 0.3032
2019-03-08 19:03:26, INFO: TRAIN in episode 126 has success rate: 1.00, collision rate: 0.00, nav time: 9.50, total reward: 0.3773
2019-03-08 19:03:29, INFO: TRAIN in episode 127 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3487
2019-03-08 19:03:31, INFO: TRAIN in episode 128 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3083
2019-03-08 19:03:34, INFO: TRAIN in episode 129 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3283
2019-03-08 19:03:36, INFO: TRAIN in episode 130 has success rate: 1.00, collision rate: 0.00, nav time: 8.75, total reward: 0.3703
2019-03-08 19:03:38, INFO: TRAIN in episode 131 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3487
2019-03-08 19:03:41, INFO: TRAIN in episode 132 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:03:43, INFO: TRAIN in episode 133 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3308
2019-03-08 19:03:46, INFO: TRAIN in episode 134 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3448
2019-03-08 19:03:50, INFO: TRAIN in episode 135 has success rate: 1.00, collision rate: 0.00, nav time: 11.75, total reward: 0.2977
2019-03-08 19:03:52, INFO: TRAIN in episode 136 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3308
2019-03-08 19:03:55, INFO: TRAIN in episode 137 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3138
2019-03-08 19:03:57, INFO: TRAIN in episode 138 has success rate: 1.00, collision rate: 0.00, nav time: 9.50, total reward: 0.3773
2019-03-08 19:04:00, INFO: TRAIN in episode 139 has success rate: 1.00, collision rate: 0.00, nav time: 12.00, total reward: 0.2900
2019-03-08 19:04:03, INFO: TRAIN in episode 140 has success rate: 1.00, collision rate: 0.00, nav time: 9.00, total reward: 0.3917
2019-03-08 19:04:05, INFO: TRAIN in episode 141 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:04:08, INFO: TRAIN in episode 142 has success rate: 1.00, collision rate: 0.00, nav time: 9.25, total reward: 0.3874
2019-03-08 19:04:10, INFO: TRAIN in episode 143 has success rate: 1.00, collision rate: 0.00, nav time: 11.50, total reward: 0.3049
2019-03-08 19:04:13, INFO: TRAIN in episode 144 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:04:15, INFO: TRAIN in episode 145 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3478
2019-03-08 19:04:18, INFO: TRAIN in episode 146 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 19:04:20, INFO: TRAIN in episode 147 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3278
2019-03-08 19:04:23, INFO: TRAIN in episode 148 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3138
2019-03-08 19:04:27, INFO: TRAIN in episode 149 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3308
2019-03-08 19:04:29, INFO: TRAIN in episode 150 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3348
2019-03-08 19:04:32, INFO: TRAIN in episode 151 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:04:35, INFO: TRAIN in episode 152 has success rate: 1.00, collision rate: 0.00, nav time: 11.50, total reward: 0.3057
2019-03-08 19:04:38, INFO: TRAIN in episode 153 has success rate: 1.00, collision rate: 0.00, nav time: 11.75, total reward: 0.2977
2019-03-08 19:04:41, INFO: TRAIN in episode 154 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.2979
2019-03-08 19:04:44, INFO: TRAIN in episode 155 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 19:04:47, INFO: TRAIN in episode 156 has success rate: 1.00, collision rate: 0.00, nav time: 9.25, total reward: 0.3874
2019-03-08 19:04:51, INFO: TRAIN in episode 157 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3487
2019-03-08 19:04:53, INFO: TRAIN in episode 158 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3308
2019-03-08 19:04:55, INFO: TRAIN in episode 159 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3391
2019-03-08 19:04:58, INFO: TRAIN in episode 160 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3127
2019-03-08 19:05:00, INFO: TRAIN in episode 161 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3231
2019-03-08 19:05:03, INFO: TRAIN in episode 162 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3138
2019-03-08 19:05:06, INFO: TRAIN in episode 163 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3487
2019-03-08 19:05:09, INFO: TRAIN in episode 164 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3100
2019-03-08 19:05:11, INFO: TRAIN in episode 165 has success rate: 1.00, collision rate: 0.00, nav time: 9.50, total reward: 0.3773
2019-03-08 19:05:14, INFO: TRAIN in episode 166 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3099
2019-03-08 19:05:17, INFO: TRAIN in episode 167 has success rate: 1.00, collision rate: 0.00, nav time: 11.50, total reward: 0.3057
2019-03-08 19:05:20, INFO: TRAIN in episode 168 has success rate: 1.00, collision rate: 0.00, nav time: 12.25, total reward: 0.2822
2019-03-08 19:05:22, INFO: TRAIN in episode 169 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3337
2019-03-08 19:05:25, INFO: TRAIN in episode 170 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3138
2019-03-08 19:05:28, INFO: TRAIN in episode 171 has success rate: 1.00, collision rate: 0.00, nav time: 12.75, total reward: 0.2679
2019-03-08 19:05:31, INFO: TRAIN in episode 172 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3197
2019-03-08 19:05:34, INFO: TRAIN in episode 173 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3137
2019-03-08 19:05:37, INFO: TRAIN in episode 174 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:05:39, INFO: TRAIN in episode 175 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3580
2019-03-08 19:05:42, INFO: TRAIN in episode 176 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:05:44, INFO: TRAIN in episode 177 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3580
2019-03-08 19:05:47, INFO: TRAIN in episode 178 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3011
2019-03-08 19:05:49, INFO: TRAIN in episode 179 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3476
2019-03-08 19:05:52, INFO: TRAIN in episode 180 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 19:05:54, INFO: TRAIN in episode 181 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3175
2019-03-08 19:05:56, INFO: TRAIN in episode 182 has success rate: 1.00, collision rate: 0.00, nav time: 9.50, total reward: 0.3773
2019-03-08 19:05:59, INFO: TRAIN in episode 183 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3396
2019-03-08 19:06:02, INFO: TRAIN in episode 184 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3119
2019-03-08 19:06:04, INFO: TRAIN in episode 185 has success rate: 1.00, collision rate: 0.00, nav time: 9.25, total reward: 0.3864
2019-03-08 19:06:07, INFO: TRAIN in episode 186 has success rate: 1.00, collision rate: 0.00, nav time: 12.75, total reward: 0.2579
2019-03-08 19:06:10, INFO: TRAIN in episode 187 has success rate: 1.00, collision rate: 0.00, nav time: 11.50, total reward: 0.2874
2019-03-08 19:06:13, INFO: TRAIN in episode 188 has success rate: 1.00, collision rate: 0.00, nav time: 11.50, total reward: 0.3057
2019-03-08 19:06:15, INFO: TRAIN in episode 189 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:06:18, INFO: TRAIN in episode 190 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 19:06:20, INFO: TRAIN in episode 191 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3396
2019-03-08 19:06:24, INFO: TRAIN in episode 192 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 19:06:26, INFO: TRAIN in episode 193 has success rate: 1.00, collision rate: 0.00, nav time: 9.25, total reward: 0.3874
